"죄종별(1)",죄종별(2),죄종별(3),2011,2012,2013,2014,2015,2016,2017,2018
"기타범죄",아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),소계,-,-,-,-,-,2,1,12
"기타범죄",아동학대처벌법위반(업무수행 방해 등),소계,-,-,-,-,-,-,-,-
"기타범죄",아동학대처벌법위반(유기·학대 등),소계,-,-,-,-,-,-,2,-
"기타범죄",아동학대처벌법위반(처분 불이행 등),소계,-,-,-,-,-,-,3,-
"기타범죄",아동학대처벌법위반(피해자 등에 대한 강요행위),소계,-,-,-,-,-,-,-,-
"기타범죄",아동학대처벌법위반(기타),소계,-,-,-,-,2,-,3,1
"기타범죄",액화석유가스의안전및사업관리법,소계,5,3,6,16,16,4,1,6
"기타범죄",양곡관리법,소계,-,-,-,1,1,-,-,-
"기타범죄",여객자동차운수사업법,소계,91,371,128,209,15,22,37,64
"기타범죄",여권법,소계,-,2,2,-,-,2,1,-
"기타범죄",영해및접속수역법,소계,-,-,-,-,-,-,-,-
"기타범죄",영화및비디오물의진흥에관한법률,소계,1,2,4,1,1,-,-,1
"기타범죄",옥외광고물법위반,소계,11,6,2,11,7,2,7,10
"기타범죄",위증죄,소계,74,82,74,63,64,64,63,71
"기타범죄",위치정보의보호및이용등에관한법률,소계,-,1,1,5,6,3,4,2
"기타범죄",유기와학대의죄,소계,2,8,5,3,2,1,1,4
"기타범죄",유선및도선사업법,소계,6,-,-,-,-,1,1,-
"기타범죄",음반·비디오물및게임물에관한법률,소계,-,-,-,-,-,-,-,-
"기타범죄",음악산업진흥에관한법률,소계,179,178,143,132,123,161,132,116
"기타범죄",인질강요·살해·상해,소계,-,-,-,-,1,-,-,-
"기타범죄",일수와수리에관한죄,소계,-,-,-,-,-,1,1,-
"기타범죄",자동차관리법,소계,198,246,208,373,374,523,770,488
"기타범죄",자동차손해배상보장법,소계,83,58,51,83,167,558,463,162
"기타범죄",자연공원법,소계,11,9,11,4,11,11,17,14
"기타범죄",장물에관한죄,소계,15,18,15,15,23,21,20,8
"기타범죄",장사등에관한법률,소계,-,5,6,2,5,-,2,2
"기타범죄",재난및안전관리기본법,소계,-,-,-,-,-,-,-,-
"기타범죄",전기통신기본법,소계,4,1,2,1,3,2,3,7
"기타범죄",전파법,소계,-,-,1,-,-,1,-,1
"기타범죄",정보통신망이용촉진및정보보호등에관한법률,소계,222,315,229,-,-,-,-,-
"기타범죄",정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),소계,-,-,-,1,-,2,-,-
"기타범죄",정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),소계,-,-,-,102,98,175,164,158
"기타범죄",정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),소계,-,-,-,29,40,44,41,51
"기타범죄",정보통신망이용촉진및정보보호등에관한법률위반(기타),소계,-,-,-,105,95,75,92,80
"기타범죄",정신건강복지법,소계,-,-,-,-,-,-,-,-
"기타범죄",주거침입의죄,소계,285,345,358,359,393,485,507,567
"기타범죄",주민등록법,소계,246,277,218,130,166,122,103,61
"기타범죄",주차장법,소계,-,2,2,1,3,2,-,1
"기타범죄",주택건설촉진법,소계,-,-,-,-,-,-,-,-
"기타범죄",집회및시위에관한법률,소계,7,5,5,10,9,6,1,2
"기타범죄",채무자회생및파산에관한법률위반,소계,2,5,4,2,4,4,3,1
"기타범죄",철도안전법,소계,-,-,-,-,-,-,-,-
"기타범죄",청소년보호법,소계,392,449,341,301,322,344,306,292
"기타범죄",총포·도검·화약류등의안전관리에관한법률,소계,22,10,17,8,9,30,9,20
"기타범죄",축산물위생관리법,소계,6,-,54,20,33,48,21,6
"기타범죄",출입국관리법,소계,10,3,17,11,23,56,61,49
"기타범죄",통신비밀보호법,소계,3,4,8,4,2,5,-,11
"기타범죄",특가법(무고),소계,-,-,-,-,-,-,-,-
"기타범죄",특가법(장물),소계,-,-,-,-,-,-,-,-
"기타범죄",특경법(보고의무),소계,-,-,-,-,-,-,-,-
"기타범죄",폭력행위등처벌에관한법률위반(기타),소계,-,-,1,-,-,-,-,-
"기타범죄",하수도법,소계,7,12,6,8,-,4,6,6
"기타범죄",하천법,소계,15,9,16,15,16,22,24,18
"기타범죄",학원의설립·운영및과외교섭에관한법률,소계,7,15,13,8,8,5,5,5
"기타범죄",항만운송사업법,소계,-,-,-,-,-,1,-,1
"기타범죄",허위감정증거인멸·은닉증인은닉죄,소계,1,2,7,2,4,7,3,5
"기타범죄",형사소송법,소계,-,-,-,-,-,-,-,-
"기타범죄",형의실효등에관한법률,소계,-,-,-,-,-,-,-,-
"기타범죄",화물자동차운수사업법,소계,15,54,28,8,26,22,72,13
"기타범죄",기타,소계,420,387,469,311,514,635,553,448
